time ax ay az wx wy wz hm
481294597 -00.169035 +00.067096 -09.632765 +0.003353 +0.000389 +0.004181 +09.65
481294602 -00.169035 +00.067096 -09.632765 +0.003182 -0.006986 +0.003225 +05.21
481294607 -00.294639 +00.023988 -09.643887 +0.002381 -0.001077 +0.005118 +06.95
481294612 -00.140083 -00.113616 -09.691793 +0.001949 +0.009879 +0.003248 +04.45
481294617 +00.053385 +00.044288 -09.702534 +0.005767 +0.010501 +0.005305 +16.71
481294622 -00.104852 +00.269954 -09.929809 -0.000357 -0.000006 +0.007625 +16.71
481294627 -00.162855 +00.198410 -09.945443 -0.000357 -0.000006 +0.007625 +10.88
481294632 -00.162855 +00.198410 -09.945443 -0.000208 -0.001304 +0.008409 +00.59
481294637 -00.061876 +00.126314 -09.850182 -0.000131 +0.002192 +0.001343 +02.18
481294642 -00.158910 -00.050773 -09.800736 +0.000496 -0.005022 +0.000548 +11.04
481294647 -00.298591 -00.064489 -09.911633 +0.003487 +0.000183 +0.006853 +06.27
481294652 -00.187796 -00.060141 -09.829669 +0.000320 +0.007738 +0.005911 +06.27
481294657 +00.034476 +00.192556 -09.758088 +0.002067 +0.008685 +0.007333 +06.38
481294662 +00.034476 +00.192556 -09.758088 +0.008135 +0.004061 +0.006560 +01.31
481294667 -00.028032 +00.231078 -09.820079 +0.000417 +0.001710 +0.010774 +08.07
481294672 -00.047819 +00.068345 -09.755508 -0.004968 -0.002858 +0.004304 +11.70
481294677 -00.154532 +00.010087 -09.657122 -0.004968 -0.002858 +0.004304 +01.78
481294682 -00.352505 -00.037749 -09.692738 +0.003342 -0.004907 +0.003858 +01.78
481294687 -00.168844 -00.122716 -09.754054 +0.004551 +0.001208 +0.012830 +09.46
481294692 -00.168844 -00.122716 -09.754054 +0.003657 +0.008356 +0.008124 +12.21
481294697 +00.078204 +00.145644 -09.843977 +0.001930 +0.007766 +0.004659 +08.96
481294702 -00.071266 +00.221986 -09.887228 -0.003629 +0.004929 +0.000235 +07.13
481294707 -00.139025 +00.078882 -09.903793 -0.005539 +0.002697 -0.001189 +08.67
481294712 -00.168615 -00.017600 -09.776619 -0.005539 +0.002697 -0.001189 +08.67
481294716 -00.241330 -00.042096 -09.715634 -0.003634 +0.001882 -0.000084 +07.70
481294721 -00.241330 -00.042096 -09.715634 -0.002698 -0.001033 +0.001486 +09.38
481294726 -00.284273 +00.006504 -09.839241 +0.000397 +0.001035 +0.012658 +00.39
481294731 -00.090633 +00.093444 -09.922248 -0.002818 +0.004506 +0.015639 +09.66
481294736 +00.020511 +00.212677 -09.891304 +0.002190 +0.006539 +0.010630 +16.69
481294741 -00.013616 +00.135838 -09.835365 -0.000304 +0.007924 +0.004338 +16.69
481294746 -00.033417 +00.082453 -09.726645 -0.000793 -0.002968 +0.002275 +18.52
481294751 -00.033417 +00.082453 -09.726645 +0.002695 -0.005242 +0.004484 +11.64
481294756 -00.173868 +00.105125 -09.618071 +0.001269 -0.003466 +0.003696 +07.03
481294761 -00.338082 +00.004936 -09.658775 -0.000288 -0.001161 +0.000080 +10.07
481294766 -00.135343 -00.128067 -09.672875 -0.000488 +0.005001 +0.006061 +12.99
481294771 -00.008977 +00.059347 -09.812420 +0.005749 +0.006152 +0.005927 +12.99
481294776 -00.138890 +00.259885 -09.873080 +0.005732 -0.000114 +0.005917 +06.10
481294781 -00.138890 +00.259885 -09.873080 -0.003504 +0.001510 +0.002902 +04.39
481294786 -00.124212 +00.160451 -09.959843 -0.003953 +0.006519 +0.001180 +09.32
481294791 -00.028272 +00.078384 -09.812362 -0.004184 +0.001595 +0.007143 +07.52
481294796 -00.216655 -00.036163 -09.853445 -0.004184 +0.001595 +0.007143 +04.16
481294801 -00.265032 -00.079226 -09.849612 -0.003230 -0.009123 +0.004615 +04.16
481294806 -00.110363 +00.040213 -09.832573 +0.001912 -0.000741 +0.004174 +06.85
481294811 -00.110363 +00.040213 -09.832573 -0.003529 +0.007700 +0.007312 +05.99
481294816 +00.077994 +00.187992 -09.772050 -0.000657 +0.012179 +0.009058 +13.80
